,LandCover,Wind,DEM,NDVI,Clouds,Temp,Eva,Eva_plant,AirTempCategory
36067,50.0,1.1952522,2592.0,0.78,0.91545945,17.750763,-0.0039900397,-7.017845e-07,0
36209,50.0,1.4406092,1120.0,0.84,0.887096,22.709015,-0.0034749738,4.656613e-10,0
36321,50.0,1.0291575,1845.0,0.73,0.93730056,18.826904,-0.00397092,-2.817732e-05,0
36337,50.0,1.3671356,2368.0,0.76,0.89865965,17.199982,-0.004151024,4.656613e-10,0
36396,50.0,1.0631483,737.0,0.77,0.9121203,20.628052,-0.003914723,4.656613e-10,0
36527,30.0,1.0037757,805.0,0.76,0.91364044,18.255188,-0.0037747598,4.656613e-10,0
36589,50.0,0.95345753,1225.0,0.78,0.9304533,16.478119,-0.0039032092,4.656613e-10,0
36657,40.0,0.9702303,2469.0,0.73,0.9256459,15.729492,-0.0038438437,4.656613e-10,0
37365,40.0,1.9011917,39.0,0.81,0.94132835,26.556824,-0.0044632745,-2.8528444e-05,0
37366,40.0,1.8338039,49.0,0.76,0.94204295,26.650421,-0.004284544,-9.479911e-06,0
38288,40.0,2.021718,14.0,0.69,0.95759547,25.938324,-0.0039606737,-1.2727817e-05,0
38355,50.0,1.6944268,45.0,0.79,0.96180516,25.818024,-0.003743915,4.656613e-10,0
38356,11.0,1.551339,79.0,0.77,0.96387106,25.617035,-0.0037234223,4.656613e-10,0
38390,120.0,1.1292002,78.0,0.76,0.95632213,26.33313,-0.0035712053,-8.7734696e-07,0
39238,50.0,1.0077834,1578.0,0.69,0.96810675,20.040283,-0.0035496561,4.656613e-10,0
39366,50.0,0.9519732,1168.0,0.8,0.96743107,18.926727,-0.0034218405,4.656613e-10,0
